walletAddress,projectName,projectSymbol,amountInvested,tokensReceived,purchaseTokenSymbol,tokenContractAddress,investmentType,investmentDate,transactionHash
0x76E75932E2D936D619013b681b0e16386cd05340,MemeTon,MMT,10,285714.2857142857,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T08:40:51.954Z,0xaddd6644a005ef228c6250a0876a96f903d0824dd9fcf1955b95823632029610
0x37F7BD1E7EFA6B733762261B511643Bb5911b314,XTom,XTM,10,400000,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T07:27:05.323Z,0x87effc4bf870999eacd90a8e68a4b75ff59f4bd408d0940724c396240043175f
0x37F7BD1E7EFA6B733762261B511643Bb5911b314,BomeTon,BMT,20,521739.1304347826,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T07:24:54.038Z,0x3301264dd2fcf184ba7b02166fa9e11cff2705e1c8e4e6bbec6b251a3c164085
0x37F7BD1E7EFA6B733762261B511643Bb5911b314,DogeTon,DOTE,20,444444.4444444444,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T07:22:08.290Z,0x4940faa708690f00d0e79f9749b291ca2803aa8eac3bc2d5ae6a08af275efc05
0x37F7BD1E7EFA6B733762261B511643Bb5911b314,PepeTon,PEPT,20,489795.918367347,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T07:21:03.897Z,0xdc0b163f3b34b0e4b529dfd33237201cb8c996dd53fb247ef7345f246227d1d4
0xaD4ff15f4281c01c62eCa36f00001C2140CF4b35,Xtox,XTOX,50,4615.384615384615,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T03:24:16.373Z,0x679bb7464c98f612b357d66ab62ab7dadaf1accd3cae0bb12ba85a035b3c6296
0xaD4ff15f4281c01c62eCa36f00001C2140CF4b35,ArbPad,ARP,100,36363.63636363636,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-09T03:23:03.623Z,0x19e4ec85dd831d456dcbcfdab0ec70ea89a679d0ccaae1f6c34ffae79cf7ee6c
0xaD4ff15f4281c01c62eCa36f00001C2140CF4b35,ArbPad,ARP,50,15151.51515151515,USDT,0x55d398326f99059ff775485246999027b3197955,NORMAL,2024-10-09T03:18:42.636Z,0xaf87fdd6be1800415636e467f8ebee73ce728644ca0c11488c71abf57f1425be
0xaD4ff15f4281c01c62eCa36f00001C2140CF4b35,Jlaunchpad,JLP,50,21739.13043478261,USDT,0x55d398326f99059ff775485246999027b3197955,NORMAL,2024-10-09T03:15:14.103Z,0xb2bb091f4d611f8958fef6e5d48e76cc24a82f31b684a2952bea2f85e0992c0c
0x7fbF4e7631d353f30d6dC396CcFC808dE776998B,Dragon Crossing,DGC,1,55.06456320035242,USDT,0x55d398326f99059ff775485246999027b3197955,NORMAL,2024-10-09T02:32:53.665Z,0xfb50991f87763d2629eb4fe69fdc617c6fd5abf9e0330276fdbeab2e64c3de78
0x5fF27966D8E153cE688Adb1FB16C70a7f113d5f5,Xtox,XTOX,10,923.0769230769231,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T18:30:07.746Z,0x5278f238fab42d3c22b7d174dd9b46e057008520170f18ec47e67c3bd395106c
0x5fF27966D8E153cE688Adb1FB16C70a7f113d5f5,TingTrace,TTR,10,731.7073170731705,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T18:30:03.777Z,0xf7335180724946fba7f2b8140c0faab679692d49023e2fadeeb89235179273c1
0x37ACBe3b563b6545DDbDBD2969fD61D28138bF53,DogeTon,DOTE,31,688888.8888888889,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T12:17:55.820Z,0xc5342b66e32fdb3afccadf82f0d20776846a02433ae4f5afe2cc208940931e24
